filename,true_plate,pred_plate,confidence,type
xemay22_jpg.rf.ba5724a53d2a89986bbf3bfa0177abed.jpg,59f107509,59f107509,0.999,correct
xemay236_jpg.rf.e98a87945fb9a9069c0d821efe5e8983.jpg,59s174613,59s174613,0.999,correct
xemay25_jpg.rf.50afdab4527066985e74146256455e9b.jpg,37m107918,37m107918,1.0,correct
xemay272_jpg.rf.d1aa1b977bb27f48fd4790230a95308e.jpg,59m121704,59m121704,0.999,correct
xemay274_jpg.rf.8e25f89fdcea2cd3732d13160cdfe784.jpg,59c139780,59c139780,0.969,correct
xemay295_jpg.rf.cce52bb8031707a3987d91ab1bc6b45d.jpg,59e164141,59e164141,0.999,correct
xemay302_jpg.rf.05e8992072a52a08f09a8972e6e1b9a3.jpg,59h170791,59h170791,0.959,correct
xemay312_jpg.rf.7582f5f0de21211f5e2fa5e72466bd2a.jpg,59l178582,59l178582,0.999,correct
xemay317_jpg.rf.351d6e0fa659f72da80d2f6090cb9a4b.jpg,60b736638,60b736638,0.999,correct
xemay350_jpg.rf.eadb82bea0ae2fb232cbe115a62642c0.jpg,51h25512,51h25512,1.0,correct
xemay41_jpg.rf.8d0e91f4b3d8c080d65430b60f25ed91.jpg,65s21319,65s21319,0.972,correct
xemay48_jpg.rf.e3ef11537b86b30c7b67293a152f4c93.jpg,51r56273,51r56273,0.999,correct
xemay55_jpg.rf.8864704c47238add98eab69733cd6992.jpg,62v16814,62v16814,1.0,correct
xemay61_jpg.rf.6387b765910a255045a55e6c51585a76.jpg,59u139619,59u139619,0.999,correct
xemay6_jpg.rf.cad7d47bf85c366cc76910dccbeeabc5.jpg,52u78693,52u78693,0.999,correct
xemay92_jpg.rf.191cd1143981955d56c50c88bf2b513e.jpg,59l154063,59l154063,0.999,correct
xemayBigPlate0_jpg.rf.efd6a33f756ba02b9d2bd221323dcbdc.jpg,65l100780,65l100780,0.999,correct
xemayBigPlate106_jpg.rf.978e7d969481a418ed8978eba396a169.jpg,65b113144,65b113144,1.0,correct
xemayBigPlate107_jpg.rf.64f4da94a965e78d20d7e4250c1540cb.jpg,83s30735,83s30735,1.0,correct
xemayBigPlate10_jpg.rf.a13467cf4fa545097e587ce6c95aeea3.jpg,67v15283,67v15283,0.996,correct
xemayBigPlate11_jpg.rf.9c5eaa4b40b22f999b3817f4dcc62440.jpg,65x45189,65x45189,0.999,correct
xemayBigPlate122_jpg.rf.fed269fe7d11204fe203bd252719b37f.jpg,95m21126,95m21126,0.999,correct
xemayBigPlate12_jpg.rf.7baa2d8353e5f00574a0479d050780ae.jpg,65b117209,65b117209,1.0,correct
xemayBigPlate147_jpg.rf.cd53fea449b9803d906b59d6ffb5c8a7.jpg,83p154417,83p154417,0.994,correct
xemayBigPlate150_jpg.rf.d1c65c2b77fba415af6aa7d7b7263db0.jpg,69u10561,69u10561,0.999,correct
xemayBigPlate158_jpg.rf.4b91857f5b53e24ac8d7bc9f67d7c3f8.jpg,64t17822,64t17822,0.977,correct
xemayBigPlate174_jpg.rf.ae1d39197fd2508becf07f82649088d3.jpg,67s23990,67s23990,0.999,correct
xemayBigPlate176_jpg.rf.02a090be1d54d9bd5f3035fb63c3cb98.jpg,66m19536,66m19536,0.997,correct
xemayBigPlate184_jpg.rf.a1a1268fea824916841d7626a5f9ae57.jpg,60u14632,60u14632,1.0,correct
xemayBigPlate187_jpg.rf.3d2084ac6d14e7360a0039185a50761e.jpg,71h80820,71h80820,0.992,correct
xemayBigPlate19_jpg.rf.cf896e737c9ded6638b1c3a713d963a6.jpg,68v22855,68v22855,1.0,correct
xemayBigPlate228_jpg.rf.9df9b828972ad59b0e88bff3d6f0b037.jpg,65g104942,65g104942,1.0,correct
xemayBigPlate241_jpg.rf.c8c808aac132abef08d123106ea558e5.jpg,69f102341,69f102341,0.999,correct
xemayBigPlate45_jpg.rf.0a94d2311e1726545ce4f06d0324dcd4.jpg,66n27285,66n27285,0.999,correct
xemayBigPlate53_jpg.rf.0ef1e64975a4b9e69e51d0bf6eb4a1b2.jpg,69f68587,69f68587,0.999,correct
xemayBigPlate54_jpg.rf.60b716ee4a378884c518072df7196947.jpg,95p22098,95p22098,0.999,correct
xemayBigPlate64_jpg.rf.fd58fce6c04ac5f5462cb777b542633b.jpg,83c103322,83c103322,1.0,correct
xemayBigPlate67_jpg.rf.f9069a4e2c01ddb90593b1e5ad42ec42.jpg,65e103166,65e103166,1.0,correct
xemayBigPlate70_jpg.rf.6fc8a12ea732fd20a94aa9d1f40611b0.jpg,69f68587,69f68587,0.998,correct
xemayBigPlate76_jpg.rf.f75feaf50a21158cea54c363771c1a5a.jpg,64k89380,64k89380,0.949,correct
xemayBigPlate89_jpg.rf.1d5b6bfaba97b07941be486336512a81.jpg,65b128919,65b128919,1.0,correct
xemayBigPlate94_jpg.rf.657c42d7da606b6968b51b407ffc6742.jpg,67c103786,67c103786,0.982,correct
xemayBigPlate95_jpg.rf.b2051117d750032b6deabcd2d444ad1e.jpg,65u18790,65u18790,0.999,correct
xemayBigPlate96_jpg.rf.af6dbbd995c7acd30f903f0acc6a752b.jpg,68t106653,68t106653,1.0,correct
xemayBigPlate97_jpg.rf.cf26fc69b5ff7504f06f3caacf0627a7.jpg,94e101304,94e101304,0.992,correct
xemayBigPlate98_jpg.rf.62630f4079c6172d849f60a68e83fb8c.jpg,65r20956,65r20956,0.999,correct
